capability_id,skill_id,weight,source
telepathy,mind-reading,1.00,manual
telepathy,emotional-sensing,0.70,manual
telepathy,thought-guessing,0.60,manual
telepathy,neurolink-operation,0.80,manual
telepathy,psychic-amplifier-calibration,0.50,manual
remote-telepathy,mind-reading,0.90,manual
remote-telepathy,psychic-amplifier-calibration,1.00,manual
remote-telepathy,thoughtbridge-operation,0.90,manual
remote-telepathy,neurolink-operation,0.70,manual
hypnosis,suggestion-planting,1.00,manual
hypnosis,crowd-reading,0.50,manual
hypnosis,hypno-beam-operation,0.80,manual
hypnosis,mind-shield-configuration,0.40,manual
mass-hypnosis,crowd-reading,1.00,manual
mass-hypnosis,hypno-beam-operation,0.90,manual
mass-hypnosis,suggestion-planting,0.70,manual
mass-hypnosis,psychic-amplifier-calibration,0.60,manual
